,date,code
668,2013-10-14,601166
669,2013-10-15,601166
670,2013-10-16,601166
671,2013-10-17,601166
672,2013-10-18,601166
673,2013-10-21,601166
674,2013-10-22,601166
675,2013-10-23,601166
676,2013-10-24,601166
677,2013-10-25,601166
678,2013-10-28,601166
679,2013-10-29,601166
680,2013-10-30,601166
681,2013-10-31,601166
682,2013-11-01,601818
683,2013-11-04,601818
684,2013-11-05,601818
685,2013-11-06,601818
686,2013-11-07,601818
687,2013-11-08,601818
688,2013-11-11,601818
689,2013-11-12,601818
690,2013-11-13,601328
691,2013-11-14,601328
692,2013-11-15,601328
693,2013-11-18,601818
694,2013-11-19,601818
695,2013-11-20,601818
696,2013-11-21,601818
697,2013-11-22,601818
698,2013-11-25,601818
699,2013-11-26,601818
700,2013-11-27,601818
701,2013-11-28,601818
702,2013-11-29,601818
703,2013-12-02,601818
704,2013-12-03,601818
705,2013-12-04,601818
706,2013-12-05,601818
707,2013-12-06,601818
708,2013-12-09,601818
709,2013-12-10,601818
710,2013-12-11,601818
711,2013-12-12,601818
712,2013-12-13,601818
713,2013-12-16,601818
714,2013-12-17,601818
715,2013-12-18,601818
716,2013-12-19,601818
717,2013-12-20,601328
718,2013-12-23,601818
719,2013-12-24,601818
720,2013-12-25,601818
721,2013-12-26,601818
722,2013-12-27,601818
723,2013-12-30,601328
724,2013-12-31,601328
725,2014-01-02,601328
726,2014-01-03,601328
727,2014-01-06,601328
728,2014-01-07,601328
729,2014-01-08,601328
730,2014-01-09,601818
731,2014-01-10,601818
732,2014-01-13,601818
733,2014-01-14,601328
734,2014-01-15,601328
735,2014-01-16,601328
736,2014-01-17,601328
737,2014-01-20,601818
738,2014-01-21,601818
739,2014-01-22,601818
740,2014-01-23,601818
741,2014-01-24,601818
742,2014-01-27,601818
743,2014-01-28,601818
744,2014-01-29,601818
745,2014-01-30,601818
746,2014-02-07,601818
747,2014-02-10,601818
748,2014-02-11,601818
749,2014-02-12,601818
750,2014-02-13,601818
751,2014-02-14,601818
752,2014-02-17,601818
753,2014-02-18,601818
754,2014-02-19,601818
755,2014-02-20,601818
756,2014-02-21,601818
757,2014-02-24,601818
758,2014-02-25,601818
759,2014-02-26,601818
760,2014-02-27,601818
761,2014-02-28,601818
762,2014-03-03,601818
763,2014-03-04,601818
764,2014-03-05,601818
765,2014-03-06,601818
766,2014-03-07,601818
767,2014-03-10,601818
768,2014-03-11,601818
769,2014-03-12,601818
770,2014-03-13,601818
771,2014-03-14,601818
772,2014-03-17,601818
773,2014-03-18,601818
774,2014-03-19,601818
775,2014-03-20,601818
776,2014-03-21,601818
777,2014-03-24,601818
778,2014-03-25,601818
779,2014-03-26,601818
780,2014-03-27,601818
781,2014-03-28,601818
782,2014-03-31,601818
783,2014-04-01,601328
784,2014-04-02,601328
785,2014-04-03,601328
786,2014-04-04,601328
787,2014-04-08,601328
788,2014-04-09,601328
789,2014-04-10,601328
790,2014-04-11,601328
791,2014-04-14,601328
792,2014-04-15,601328
793,2014-04-16,601328
794,2014-04-17,601328
795,2014-04-18,601328
796,2014-04-21,601328
797,2014-04-22,601328
798,2014-04-23,601328
799,2014-04-24,601328
800,2014-04-25,601328
801,2014-04-28,601328
802,2014-04-29,601328
803,2014-04-30,601328
804,2014-05-05,601328
805,2014-05-06,601328
806,2014-05-07,601328
807,2014-05-08,601328
808,2014-05-09,601328
809,2014-05-12,601328
810,2014-05-13,601328
811,2014-05-14,601328
812,2014-05-15,601328
813,2014-05-16,601328
814,2014-05-19,601328
815,2014-05-20,601328
816,2014-05-21,601328
817,2014-05-22,601328
818,2014-05-23,601328
819,2014-05-26,601328
820,2014-05-27,601328
821,2014-05-28,601328
822,2014-05-29,601328
823,2014-05-30,601328
824,2014-06-03,601328
825,2014-06-04,601328
826,2014-06-05,601328
827,2014-06-06,601328
828,2014-06-09,601328
829,2014-06-10,601328
830,2014-06-11,601328
831,2014-06-12,601328
832,2014-06-13,601328
833,2014-06-16,601328
834,2014-06-17,601328
835,2014-06-18,601328
836,2014-06-19,601328
837,2014-06-20,601328
838,2014-06-23,601328
839,2014-06-24,601328
840,2014-06-25,601328
841,2014-06-26,601328
842,2014-06-27,601328
843,2014-06-30,601328
844,2014-07-01,601328
845,2014-07-02,601328
846,2014-07-03,601328
847,2014-07-04,601328
848,2014-07-07,601328
849,2014-07-08,601328
850,2014-07-09,601328
851,2014-07-10,601328
852,2014-07-11,601328
853,2014-07-14,601328
854,2014-07-15,601328
855,2014-07-16,601328
856,2014-07-17,601328
857,2014-07-18,601328
858,2014-07-21,601328
859,2014-07-22,601328
860,2014-07-23,601328
861,2014-07-24,601328
862,2014-07-25,601328
863,2014-07-28,601818
864,2014-07-29,601818
865,2014-07-30,601818
866,2014-07-31,601818
867,2014-08-01,601818
868,2014-08-04,601818
869,2014-08-05,601818
870,2014-08-06,601818
871,2014-08-07,601818
872,2014-08-08,601818
873,2014-08-11,601818
874,2014-08-12,601818
875,2014-08-13,601328
876,2014-08-14,601328
877,2014-08-15,601818
878,2014-08-18,601818
879,2014-08-19,601328
880,2014-08-20,601328
881,2014-08-21,601328
882,2014-08-22,601328
883,2014-08-25,601328
884,2014-08-26,601328
885,2014-08-27,601328
886,2014-08-28,601328
887,2014-08-29,601328
888,2014-09-01,601328
889,2014-09-02,601169
890,2014-09-03,601169
891,2014-09-04,601169
892,2014-09-05,601169
893,2014-09-09,601169
894,2014-09-10,601169
895,2014-09-11,601169
896,2014-09-12,601169
897,2014-09-15,601169
898,2014-09-16,601169
899,2014-09-17,601169
900,2014-09-18,601169
901,2014-09-19,601169
902,2014-09-22,601328
903,2014-09-23,601328
904,2014-09-24,601328
905,2014-09-25,601328
906,2014-09-26,601328
907,2014-09-29,601328
908,2014-09-30,601328
909,2014-10-08,601328
910,2014-10-09,601328
911,2014-10-10,601328
912,2014-10-13,601328
913,2014-10-14,601328
914,2014-10-15,601328
915,2014-10-16,601328
916,2014-10-17,601328
917,2014-10-20,601328
918,2014-10-21,601328
919,2014-10-22,601328
920,2014-10-23,601328
921,2014-10-24,601328
922,2014-10-27,601328
923,2014-10-28,601328
924,2014-10-29,601328
925,2014-10-30,601328
926,2014-10-31,601328
927,2014-11-03,601328
928,2014-11-04,601328
929,2014-11-05,601328
930,2014-11-06,601328
931,2014-11-07,601328
932,2014-11-10,601328
933,2014-11-11,601166
934,2014-11-12,601166
935,2014-11-13,601166
936,2014-11-14,601166
937,2014-11-17,601328
938,2014-11-18,601328
939,2014-11-19,601328
940,2014-11-20,601328
941,2014-11-21,601328
942,2014-11-24,601328
943,2014-11-25,601328
944,2014-11-26,601166
945,2014-11-27,601166
946,2014-11-28,601166
947,2014-12-01,601166
948,2014-12-02,601166
949,2014-12-03,601166
950,2014-12-04,601288
951,2014-12-05,601166
952,2014-12-08,601166
953,2014-12-09,601166
954,2014-12-10,601288
955,2014-12-11,601288
956,2014-12-12,601288
957,2014-12-15,601166
958,2014-12-16,601288
959,2014-12-17,601288
960,2014-12-18,601288
961,2014-12-19,601288
962,2014-12-22,601166
963,2014-12-23,601166
964,2014-12-24,601166
965,2014-12-25,601398
966,2014-12-26,601398
967,2014-12-29,601288
968,2014-12-30,601398
969,2014-12-31,601398
970,2015-01-05,601398
971,2015-01-06,601398
972,2015-01-07,601398
973,2015-01-08,601398
974,2015-01-09,601398
975,2015-01-12,601398
976,2015-01-13,601398
977,2015-01-14,601398
978,2015-01-15,601398
979,2015-01-16,601398
980,2015-01-19,601398
981,2015-01-20,601166
982,2015-01-21,601166
983,2015-01-22,601166
984,2015-01-23,601166
985,2015-01-26,601166
986,2015-01-27,601166
987,2015-01-28,601166
988,2015-01-29,601166
989,2015-01-30,601166
990,2015-02-02,601166
991,2015-02-03,601166
992,2015-02-04,601166
993,2015-02-05,601166
994,2015-02-06,601398
995,2015-02-09,601398
996,2015-02-10,601398
997,2015-02-11,601398
998,2015-02-12,601398
999,2015-02-13,601166
1000,2015-02-16,601166
1001,2015-02-17,601166
1002,2015-02-25,601166
1003,2015-02-26,601166
1004,2015-02-27,601166
1005,2015-03-02,601166
1006,2015-03-03,601166
1007,2015-03-04,601166
1008,2015-03-05,601166
1009,2015-03-06,601166
1010,2015-03-09,601288
1011,2015-03-10,601288
1012,2015-03-11,601288
1013,2015-03-12,601288
1014,2015-03-13,601288
1015,2015-03-16,601288
1016,2015-03-17,601288
1017,2015-03-18,601288
1018,2015-03-19,601288
1019,2015-03-20,601398
1020,2015-03-23,601398
1021,2015-03-24,601398
1022,2015-03-25,601398
1023,2015-03-26,601398
1024,2015-03-27,601398
1025,2015-03-30,601398
1026,2015-03-31,601398
1027,2015-04-01,601398
1028,2015-04-02,601398
1029,2015-04-03,601398
1030,2015-04-07,601398
1031,2015-04-08,601398
1032,2015-04-09,601398
1033,2015-04-10,601398
1034,2015-04-13,601398
1035,2015-04-14,601398
1036,2015-04-15,601398
1037,2015-04-16,601398
1038,2015-04-17,601398
1039,2015-04-20,601398
1040,2015-04-21,601398
1041,2015-04-22,601398
1042,2015-04-23,601398
1043,2015-04-24,601398
1044,2015-04-27,601398
1045,2015-04-28,601398
1046,2015-04-29,601398
1047,2015-04-30,601398
1048,2015-05-04,601166
1049,2015-05-05,601166
1050,2015-05-06,601288
1051,2015-05-07,601288
1052,2015-05-08,601288
1053,2015-05-11,601288
1054,2015-05-12,601288
1055,2015-05-13,601288
1056,2015-05-14,601288
1057,2015-05-15,601288
1058,2015-05-18,601288
1059,2015-05-19,601288
1060,2015-05-20,601288
1061,2015-05-21,601288
1062,2015-05-22,601288
1063,2015-05-25,601288
1064,2015-05-26,601288
1065,2015-05-27,601288
1066,2015-05-28,601288
1067,2015-05-29,601288
1068,2015-06-01,601288
1069,2015-06-02,601288
1070,2015-06-03,601288
1071,2015-06-04,601288
1072,2015-06-05,601288
1073,2015-06-08,601288
1074,2015-06-09,601288
1075,2015-06-10,601288
1076,2015-06-11,601288
1077,2015-06-12,601288
1078,2015-06-15,601288
1079,2015-06-16,601288
1080,2015-06-17,601288
1081,2015-06-18,601166
1082,2015-06-19,601288
1083,2015-06-23,601166
1084,2015-06-24,601166
1085,2015-06-25,601166
1086,2015-06-26,601166
1087,2015-06-29,601166
1088,2015-06-30,601166
1089,2015-07-01,601166
1090,2015-07-02,601166
1091,2015-07-03,601166
1092,2015-07-06,601166
1093,2015-07-07,601166
